geocod;uf;municipio;data;ano;mat_em;mat_etp;prop_etp_em;mat_etp_pub;mat_etp_priv
1700400;Tocantins ;Almas ;01/01/2010;2010;330;0;0;0;0
1703842;Tocantins ;Campos Lindos ;01/01/2010;2010;313;0;0;0;0
1707009;Tocantins ;Dianópolis ;01/01/2010;2010;980;0;0;0;0
1716505;Tocantins ;Pedro Afonso ;01/01/2010;2010;575;128;0,222608696;128;0
1718204;Tocantins ;Porto Nacional ;01/01/2010;2010;2674;425;0,158937921;210;215
1718907;Tocantins ;Santa Rosa do Tocantins ;01/01/2010;2010;183;0;0;0;0
2100501;Maranhão ;Alto Parnaíba ;01/01/2010;2010;308;0;0;0;0
2101400;Maranhão ;Balsas ;01/01/2010;2010;4059;0;0;0;0
2101806;Maranhão ;Benedito Leite ;01/01/2010;2010;157;0;0;0;0
2102804;Maranhão ;Carolina ;01/01/2010;2010;1024;0;0;0;0
2109007;Maranhão ;Porto Franco ;01/01/2010;2010;1089;0;0;0;0
2111607;Maranhão ;São Raimundo das Mangabeiras ;01/01/2010;2010;779;0;0;0;0
2201903;Piauí ;Bom Jesus ;01/01/2010;2010;1371;95;0,069292487;95;0
2202901;Piauí ;Corrente ;01/01/2010;2010;1218;282;0,231527094;282;0
2206605;Piauí ;Monte Alegre do Piauí ;01/01/2010;2010;485;0;0;0;0
2208700;Piauí ;Redenção do Gurguéia ;01/01/2010;2010;486;0;0;0;0
2209203;Piauí ;Santa Filomena ;01/01/2010;2010;281;0;0;0;0
2211209;Piauí ;Uruçuí ;01/01/2010;2010;1020;348;0,341176471;348;0
2903201;Bahia ;Barreiras ;01/01/2010;2010;6625;1573;0,237433962;1573;0
2911105;Bahia ;Formosa do Rio Preto ;01/01/2010;2010;1325;301;0,227169811;301;0
2919553;Bahia ;Luís Eduardo Magalhães ;01/01/2010;2010;2962;171;0,057731263;52;119
2926202;Bahia ;Riachão das Neves ;01/01/2010;2010;1124;30;0,026690391;30;0
2928406;Bahia ;Santa Rita de Cássia ;01/01/2010;2010;1389;263;0,189344852;178;85
2928901;Bahia ;São Desidério ;01/01/2010;2010;1005;0;0;0;0
1700400;Tocantins ;Almas ;01/01/2012;2012;367;36;0,098092643;0;0
1703842;Tocantins ;Campos Lindos ;01/01/2012;2012;280;0;0;0;0
1707009;Tocantins ;Dianópolis ;01/01/2012;2012;1038;0;0;0;0
1716505;Tocantins ;Pedro Afonso ;01/01/2012;2012;625;153;0,2448;0;0
1718204;Tocantins ;Porto Nacional ;01/01/2012;2012;2703;895;0,331113578;0;0
1718907;Tocantins ;Santa Rosa do Tocantins ;01/01/2012;2012;210;0;0;0;0
2100501;Maranhão ;Alto Parnaíba ;01/01/2012;2012;326;0;0;0;0
2101400;Maranhão ;Balsas ;01/01/2012;2012;4304;0;0;0;0
2101806;Maranhão ;Benedito Leite ;01/01/2012;2012;177;0;0;0;0
2102804;Maranhão ;Carolina ;01/01/2012;2012;990;0;0;0;0
2109007;Maranhão ;Porto Franco ;01/01/2012;2012;1078;0;0;0;0
2111607;Maranhão ;São Raimundo das Mangabeiras ;01/01/2012;2012;1018;438;0,430255403;0;0
2201903;Piauí ;Bom Jesus ;01/01/2012;2012;1073;145;0,135135135;0;0
2202901;Piauí ;Corrente ;01/01/2012;2012;1469;733;0,498978897;0;0
2206605;Piauí ;Monte Alegre do Piauí ;01/01/2012;2012;448;0;0;0;0
2208700;Piauí ;Redenção do Gurguéia ;01/01/2012;2012;341;157;0,460410557;0;0
2209203;Piauí ;Santa Filomena ;01/01/2012;2012;183;0;0;0;0
2211209;Piauí ;Uruçuí ;01/01/2012;2012;980;603;0,615306122;0;0
2903201;Bahia ;Barreiras ;01/01/2012;2012;6707;2360;0,351871179;0;0
2911105;Bahia ;Formosa do Rio Preto ;01/01/2012;2012;1421;0;0;0;0
2919553;Bahia ;Luís Eduardo Magalhães ;01/01/2012;2012;3029;208;0,068669528;0;0
2926202;Bahia ;Riachão das Neves ;01/01/2012;2012;1007;0;0;0;0
2928406;Bahia ;Santa Rita de Cássia ;01/01/2012;2012;1478;205;0,138700947;0;0
2928901;Bahia ;São Desidério ;01/01/2012;2012;1367;0;0;0;0
1700400;Tocantins ;Almas ;01/01/2014;2014;400;85;0,2125;85;0
1703842;Tocantins ;Campos Lindos ;01/01/2014;2014;393;0;0;0;0
1707009;Tocantins ;Dianópolis ;01/01/2014;2014;958;320;0,334029228;288;32
1716505;Tocantins ;Pedro Afonso ;01/01/2014;2014;698;303;0,434097421;239;64
1718204;Tocantins ;Porto Nacional ;01/01/2014;2014;2815;814;0,289165187;646;168
1718907;Tocantins ;Santa Rosa do Tocantins ;01/01/2014;2014;230;0;0;0;0
2100501;Maranhão ;Alto Parnaíba ;01/01/2014;2014;381;0;0;0;0
2101400;Maranhão ;Balsas ;01/01/2014;2014;4342;0;0;0;0
2101806;Maranhão ;Benedito Leite ;01/01/2014;2014;157;0;0;0;0
2102804;Maranhão ;Carolina ;01/01/2014;2014;944;0;0;0;0
2109007;Maranhão ;Porto Franco ;01/01/2014;2014;1172;0;0;0;0
2111607;Maranhão ;São Raimundo das Mangabeiras ;01/01/2014;2014;1060;505;0,476415094;505;0
2201903;Piauí ;Bom Jesus ;01/01/2014;2014;1339;413;0,308439134;413;0
2202901;Piauí ;Corrente ;01/01/2014;2014;1010;704;0,697029703;704;0
2206605;Piauí ;Monte Alegre do Piauí ;01/01/2014;2014;468;137;0,292735043;137;0
2208700;Piauí ;Redenção do Gurguéia ;01/01/2014;2014;318;139;0,437106918;139;0
2209203;Piauí ;Santa Filomena ;01/01/2014;2014;173;60;0,346820809;60;0
2211209;Piauí ;Uruçuí ;01/01/2014;2014;870;652;0,749425287;652;0
2903201;Bahia ;Barreiras ;01/01/2014;2014;6891;2411;0,349876651;2148;263
2911105;Bahia ;Formosa do Rio Preto ;01/01/2014;2014;1196;0;0;0;0
2919553;Bahia ;Luís Eduardo Magalhães ;01/01/2014;2014;2981;250;0,083864475;19;231
2926202;Bahia ;Riachão das Neves ;01/01/2014;2014;919;0;0;0;0
2928406;Bahia ;Santa Rita de Cássia ;01/01/2014;2014;1528;210;0,137434555;210;0
2928901;Bahia ;São Desidério ;01/01/2014;2014;1267;0;0;0;0
1700400;Tocantins ;Almas ;01/01/2016;2016;346;94;0,271676301;0;0
1703842;Tocantins ;Campos Lindos ;01/01/2016;2016;462;0;0;0;0
1707009;Tocantins ;Dianópolis ;01/01/2016;2016;946;248;0,262156448;0;0
1716505;Tocantins ;Pedro Afonso ;01/01/2016;2016;627;254;0,405103668;0;0
1718204;Tocantins ;Porto Nacional ;01/01/2016;2016;2716;739;0,272091311;0;0
1718907;Tocantins ;Santa Rosa do Tocantins ;01/01/2016;2016;201;0;0;0;0
2100501;Maranhão ;Alto Parnaíba ;01/01/2016;2016;410;0;0;0;0
2101400;Maranhão ;Balsas ;01/01/2016;2016;4134;0;0;0;0
2101806;Maranhão ;Benedito Leite ;01/01/2016;2016;132;0;0;0;0
2102804;Maranhão ;Carolina ;01/01/2016;2016;1040;52;0,05;0;0
2109007;Maranhão ;Porto Franco ;01/01/2016;2016;1240;74;0,059677419;0;0
2111607;Maranhão ;São Raimundo das Mangabeiras ;01/01/2016;2016;1030;106;0,102912621;0;0
2201903;Piauí ;Bom Jesus ;01/01/2016;2016;1347;266;0,197475872;0;0
2202901;Piauí ;Corrente ;01/01/2016;2016;1493;1115;0,746818486;0;0
2206605;Piauí ;Monte Alegre do Piauí ;01/01/2016;2016;496;94;0,189516129;0;0
2208700;Piauí ;Redenção do Gurguéia ;01/01/2016;2016;341;20;0,058651026;0;0
2209203;Piauí ;Santa Filomena ;01/01/2016;2016;302;88;0,291390728;0;0
2211209;Piauí ;Uruçuí ;01/01/2016;2016;892;826;0,926008969;0;0
2903201;Bahia ;Barreiras ;01/01/2016;2016;7455;2580;0,346076459;0;0
2911105;Bahia ;Formosa do Rio Preto ;01/01/2016;2016;1226;0;0;0;0
2919553;Bahia ;Luís Eduardo Magalhães ;01/01/2016;2016;3336;282;0,084532374;0;0
2926202;Bahia ;Riachão das Neves ;01/01/2016;2016;772;0;0;0;0
2928406;Bahia ;Santa Rita de Cássia ;01/01/2016;2016;1165;260;0,223175966;0;0
2928901;Bahia ;São Desidério ;01/01/2016;2016;1242;0;0;0;0
1700400;Tocantins ;Almas ;01/01/2018;2018;330;85;0,257575758;85;0
1703842;Tocantins ;Campos Lindos ;01/01/2018;2018;394;0;0;0;0
1707009;Tocantins ;Dianópolis ;01/01/2018;2018;824;228;0,276699029;228;0
1716505;Tocantins ;Pedro Afonso ;01/01/2018;2018;583;273;0,468267581;229;44
1718204;Tocantins ;Porto Nacional ;01/01/2018;2018;2527;611;0,241788682;581;30
1718907;Tocantins ;Santa Rosa do Tocantins ;01/01/2018;2018;185;0;0;0;0
2100501;Maranhão ;Alto Parnaíba ;01/01/2018;2018;423;0;0;0;0
2101400;Maranhão ;Balsas ;01/01/2018;2018;4226;161;0,038097492;0;161
2101806;Maranhão ;Benedito Leite ;01/01/2018;2018;179;0;0;0;0
2102804;Maranhão ;Carolina ;01/01/2018;2018;1058;150;0,141776938;150;0
2109007;Maranhão ;Porto Franco ;01/01/2018;2018;1129;208;0,184233835;208;0
2111607;Maranhão ;São Raimundo das Mangabeiras ;01/01/2018;2018;1032;437;0,423449612;437;0
2201903;Piauí ;Bom Jesus ;01/01/2018;2018;1368;375;0,274122807;307;68
2202901;Piauí ;Corrente ;01/01/2018;2018;1390;1625;1,169064748;1625;0
2206605;Piauí ;Monte Alegre do Piauí ;01/01/2018;2018;497;0;0;0;0
2208700;Piauí ;Redenção do Gurguéia ;01/01/2018;2018;321;79;0,246105919;0;79
2209203;Piauí ;Santa Filomena ;01/01/2018;2018;293;0;0;0;0
2211209;Piauí ;Uruçuí ;01/01/2018;2018;1020;1088;1,066666667;1088;0
2903201;Bahia ;Barreiras ;01/01/2018;2018;8066;3079;0,381725762;2357;722
2911105;Bahia ;Formosa do Rio Preto ;01/01/2018;2018;1174;0;0;0;0
2919553;Bahia ;Luís Eduardo Magalhães ;01/01/2018;2018;3265;177;0,054211332;19;158
2926202;Bahia ;Riachão das Neves ;01/01/2018;2018;739;0;0;0;0
2928406;Bahia ;Santa Rita de Cássia ;01/01/2018;2018;1036;396;0,382239382;373;23
2928901;Bahia ;São Desidério ;01/01/2018;2018;1234;0;0;0;0
